age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
48,M,178,Célibataire,0,false,3251 LB 63
71,F,1153,Célibataire,0,false,3512 EK 20
47,M,738,En Couple,0,false,3284 BF 23
34,M,571,En Couple,0,false,247 SG 77
18,M,566,En Couple,2,false,3890 OJ 22
45,M,554,En Couple,4,false,2474 GP 39
51,F,455,En Couple,3,false,3116 KT 92
46,F,726,En Couple,1,false,5351 BI 32
65,M,205,Seule,3,false,3626 TN 31
57,F,160,En Couple,1,true,5595 LI 92
37,F,243,Célibataire,0,false,9729 RP 17
21,M,1324,Célibataire,0,false,6335 GQ 10
81,M,527,En Couple,2,false,4622 GH 21
75,M,1007,En Couple,2,false,5830 EH 70
52,F,867,En Couple,4,false,472 KC 91
62,M,400,Célibataire,0,false,6794 KH 27
41,M,557,En Couple,2,false,4512 KC 85
18,F,161,En Couple,4,false,5955 FM 13
53,M,591,Célibataire,0,false,4337 EL 56
57,M,1252,En Couple,0,true,4738 JT 56
19,M,467,En Couple,4,false,5186 TM 79
37,F,546,En Couple,1,false,9871 RN 97
41,F,516,En Couple,4,false,1057 JS 57
30,M,1144,Célibataire,0,false,2512 TD 86
67,M,811,Seule,1,false,3671 SA 72
42,M,223,Célibataire,0,false,2052 WH 44
28,M,530,Célibataire,0,false,7592 OZ 30
26,M,598,En Couple,1,false,3697 VW 80
22,M,538,En Couple,1,false,3489 DA 72
18,M,585,En Couple,2,false,9611 IL 78
80,M,739,En Couple,3,false,1610 WA 51
83,F,772,En Couple,0,false,2350 JD 35
47,M,549,En Couple,2,false,7812 MP 13
82,F,599,En Couple,3,true,7744 HE 84
25,M,156,En Couple,0,false,5546 WA 24
39,F,998,Célibataire,0,false,9010 PG 45
22,M,402,En Couple,3,false,5681 TB 11
24,M,436,En Couple,4,false,3054 KO 12
30,M,228,En Couple,0,false,4665 BV 94
63,M,553,En Couple,2,false,4983 RH 81
67,M,596,Célibataire,0,false,8651 JJ 24
39,M,418,En Couple,1,false,2509 BI 77
38,M,221,En Couple,3,true,6458 DQ 84
20,M,597,En Couple,2,false,7752 QC 65
42,Homme,430, ,0,false,2148 XW 49
28,M,218,En Couple,0,true,8282 NO 59
35,M,207,En Couple,0,false,5392 MH 33
22,M,879,En Couple,2,false,4384 FQ 24
24,M,197,Célibataire,0,false,3296 BW 27
72,M,470,En Couple,2,false,5311 FA 88
18,F,1345,En Couple,0,false,4318 VS 25
36,F,713,En Couple,0,false,5704 OR 66
70,M,438,En Couple,2,false,384 QV 52
28,M,812,En Couple,3,false,3286 IU 22
54,M,719,En Couple,3,false,8133 EO 86
39,F,449,Célibataire,0,false,76 NQ 60
27,M,435,En Couple,3,false,3222 OK 52
54,F,571,En Couple,4,false,8601 IV 20
40,M,1096,En Couple,0,false,2008 IZ 67
49,M,592,En Couple,2,false,1237 II 55
28,M,1074,En Couple,1,false,2887 YP 20
77,M,459,En Couple,1,false,7635 MK 80
42,Homme,480,En Couple,3,false,2538 VZ 69
59,M,503,En Couple,2,false,7343 WU 42
37,M,489,En Couple,1,true,3923 HL 97
82,M,164,En Couple,3,false,5087 UU 61
35,M,1062,Célibataire,0,false,6765 ML 78
18,M,495,En Couple,0,false,4660 FK 65
21,M,747,En Couple,2,false,8414 VO 90
81,M,532,Célibataire,0,false,8919 WV 12
75,F,475,Célibataire,0,false,1156 KR 59
60,M,803,Célibataire,0,false,2174 VB 40
 ,M,972,Célibataire,0,false,3146 RC 58
36,F,248,Célibataire,0,false,6390 GT 20
26,M,407,Célibataire,0,false,4466 PV 87
72,F,592,Célibataire,0,false,5096 TO 53
30,M,167,En Couple,1,false,1913 HI 55
39,M,552,Seule,1,false,2790 ZA 47
31,F,226,En Couple,3,false,8519 XM 24
22,M,1117,En Couple,1,false,6284 VE 23
19,F,817,Célibataire,0,false,6158 GH 31
57,M,823,En Couple,2,false,945 RX 85
28,F,486,Célibataire,0,false,2553 KB 44
21,M,1201,Célibataire,0,false,2693 VV 22
52,F,1004,Marié(e),0,false,8620 GQ 90
25,F,801,Célibataire,0,false,9523 BO 29
51,F,869,Célibataire,0,false,9784 US 33
80,F,568,En Couple,1,false,7566 VV 74
19,F,190,Célibataire,0,false,9605 LT 18
73,M,156,Célibataire,0,false,4613 FE 64
43,M,155,Célibataire,0,false,9911 ZN 98
57,M,533,En Couple,0,false,1072 MZ 18
27,M,990,En Couple,3,false,1435 TU 40
21,M,1043,En Couple,4,false,2434 SG 76
36,M,959,En Couple,1,false,4521 RF 12
58,M,154,En Couple,2,false,6279 FO 67
54,F,205,Seule,3,false,9681 BI 96
76,F,556,N/D,3,false,5125 XB 78
73,M,1102,Célibataire,0,false,9968 OF 84
77,M,187,En Couple,3,false,2524 QJ 37
22,F,543,En Couple,0,true,9754 RV 44
60,M,1121,Seule,1,false,9159 BJ 90
59,F,483,En Couple,3,false,7358 QM 56
34,M,204,En Couple,4,false,3835 VW 65
82,F,505,Seule,1,false,8903 LD 35
23,M,473,Célibataire,0,false,6533 CA 85
31,M,513,En Couple,3,true,3447 ES 87
43,F,434,Célibataire,0,false,6974 UV 27
21,M,245,En Couple,2,true,7932 QS 76
61,M,749,Célibataire,0,false,7495 BK 40
44,M,527,En Couple,2,false,2829 SZ 14
29,M,236,Célibataire,0,false,9087 AU 26
68,F,227,En Couple,3,false,8955 RA 70
21,M,475,En Couple,1,false,5610 YO 34
29,M,970,En Couple,4,false,6242 NC 98
25,M,217,Célibataire,0,false,9097 RI 22
38,F,547,Célibataire,0,false,8855 GL 73
44,F,522,En Couple,3,false,2342 JG 39
61,M,543,En Couple,0,true,2601 CV 23
49,M,190,Célibataire,0,false,2870 FU 85
23,F,198,Célibataire,0,false,1313 ZB 45
40,M,996,En Couple,1,true,9191 YR 57
28,F,531,Célibataire,0,false,5044 AC 46
19,M,481,En Couple,4,false,2033 KY 46
72,M,530,En Couple,1,false,653 HV 16
53,F,588,Seule,2,false,5319 MY 15
47,F,243,Célibataire,0,false,437 MA 35
22,M,156,En Couple,1,false,7093 FY 92
43,F,229,Célibataire,0,false,8413 HE 32
46,M,1161,En Couple,2,false,3472 DG 64
29,M,412,Célibataire,0,false,7152 DQ 16
43,M,417,En Couple,4,false,203 NW 87
47,M,464,En Couple,4,false,6900 HZ 52
21,M,497,Célibataire,0,false,6430 GV 83
68,F,1148,En Couple,2,false,1431 DP 25
21,M,961,En Couple,4,false,7615 FD 68
44,M,174,En Couple,0,true,3539 MR 38
31,M,485,En Couple,0,false,5194 TT 43
69,M,518,Célibataire,0,false,876 AH 60
29,F,743,En Couple,1,true,7642 RX 34
82,M,430,En Couple,3,false,8062 XL 94
55,M,407,En Couple,2,false,8400 RG 44
52,M,249,En Couple,2,false,6257 GE 74
41,M,460,En Couple,0,false,7208 FQ 16
37,F,496,Seule,1,false,4903 YG 55
46,M,443,En Couple,1,false,7481 DJ 91
20,M,425,En Couple,0,false,2810 VD 28
43,M,468,En Couple,3,false,4627 EA 68
67,M,1193,Célibataire,0,false,6304 RZ 62
31,F,580,En Couple,1,false,5760 GR 56
67,M,477,En Couple,0,false,7817 OF 95
66,M,567,En Couple,0,false,7717 CY 69
22,M,1266,En Couple,3,true,4797 HX 64
61,M,1396,Célibataire,0,false,8384 MJ 54
41,F,460,En Couple,0,true,2879 QA 88
79,F,227,Seule,2,false,1705 ZE 76
24,F,213,Seule,1,false,9918 YG 11
43,M,536,En Couple,4,false,2146 TN 12
35,M,191,Célibataire,0,false,1137 RC 39
58,M,1193,Célibataire,0,false,5817 DR 81
58,F,1086,En Couple,0,true,9288 WU 64
60,M,155,En Couple,2,false,4211 LA 38
50,M,427,En Couple,4,false,1791 QW 61
78,F,200,En Couple,4,true,2832 ZE 58
22,M,819,En Couple,1,true,5564 QX 23
51,M,1105,Célibataire,0,false,8571 YM 11
52,M,1350,En Couple,3,false,3774 RN 16
18,M,1184,En Couple,2,false,1753 WK 41
35,F,233,Célibataire,0,false,5694 JF 69
38,M,-1,Célibataire,0,false,6502 CJ 68
41,M,415,En Couple,2,false,5439 YZ 85
19,M,411,Célibataire,0,false,7677 OZ 64
18,M,436,Célibataire,0,false,142 PI 82
28,F,479,En Couple,2,true,6383 XT 18
50,M,415,En Couple,2,true,2308 OC 23
39,M,1330,En Couple,1,false,5320 QT 91
55,F,498,En Couple,3,false,6129 YO 30
51,M,982,En Couple,1,true,4478 AH 20
23,F,786,En Couple,0,false,6049 GB 66
48,F,402,En Couple,0, ,7747 UA 15
53,F,925,Célibataire,0,false,3176 UL 65
25,M,522,Célibataire,0,false,6608 HW 75
71,M,201,En Couple,4,false,1095 BP 28
22,M,727,En Couple,2,true,5642 SZ 13
41,M,409,Célibataire,0,false,4246 OL 35
37,F,460,En Couple,2,true,4095 GD 76
83,M,915,En Couple,2,true,1353 KG 40
43,M,1099,En Couple,3,false,8855 FU 54
46,F,247,En Couple,0,false,7070 JC 25
29,M,560,Seule,1,false,7636 PS 50
27,M,215,Célibataire,0,false,8875 AA 76
36,M,1391,En Couple,0,false,8196 EW 20
34,M,552,En Couple,1,true,7105 ZH 46
51,M,494,Seule,3,false,3388 YM 33
36,M,1332,Célibataire,0,false,2269 WC 18
29,M,173,Marié(e),3,false,2812 FS 50
44,M,1002,Célibataire,0,false,5987 UM 67
61,M,548,Célibataire,0,false,2927 OD 25
57,M,501,Célibataire,0,false,6819 ZP 48
45,M,201,En Couple,1,false,4809 VH 31
21,M,585,Célibataire,0,false,1174 ZA 56
26,M,762,En Couple,2,false,6185 JL 64
24,F,417,En Couple,0,false,1296 OF 60
18,F,1131,En Couple,1,false,1942 WJ 72
25,F,477,En Couple,4,false,4493 ZL 77
39,M,159,En Couple,0,false,8820 GV 46
33,M,830,Célibataire,0,false,789 JM 61
60,M,505,Célibataire,0,false,6318 OF 80
23,M,514,Célibataire,0,false,3465 TD 57
25,F,523,En Couple,0,false,5883 LU 92
19,M,537,En Couple,3,false,2261 RB 39
77,M,476,En Couple,4,false,3642 ME 34
18,F,466,Célibataire,0,false,1166 IE 36
39,F,1099,En Couple,3,false,4263 OZ 72
28,M,820,Seule,1,false,436 EF 78
59,M,477,Célibataire,0,false,9958 FB 86
72,M,562,Célibataire,0,false,4094 LG 50
42,M,813,Célibataire,0,false,3813 NK 79
39,M,949,Célibataire,0,false,9714 TO 25
27,M,481,Célibataire,0,false,5052 TI 38
36,M,577,En Couple,0,false,6444 UP 75
42,M,406,En Couple,0,false,6989 TD 27
18,M,401,Célibataire,0,false,6163 UZ 67
53,M,1082,Célibataire,0,false,1301 JK 23
70,F,515,Célibataire,0,false,9385 DE 65
29,M,596,En Couple,2,false,3211 GR 22
77,F,1393,En Couple,2,true,9785 FN 45
62,M,580,Célibataire,0,false,9662 HH 94
38,F,542,En Couple,3,true,8265 SH 35
62,M,1078,Célibataire,0,false,3369 TV 22
18,M,443,En Couple,0,false,231 IE 15
36,M,180,En Couple,2,false,4576 PL 85
31,M,727,En Couple,3,false,6398 TJ 36
75,F,434,En Couple,0,false,4130 XE 59
48,M,534,N/D,1,false,9760 JU 14
70,M,515,En Couple,1,false,3910 VM 51
73,M,850,En Couple,0,false,7354 CC 54
41,M,476,En Couple,0,false,256 PR 16
43,M,439,En Couple,1,true,5717 AV 76
76,M,1295,En Couple,2,true,6587 VR 88
28,M,214,En Couple,0,false,9889 IL 67
36,M,1136,En Couple,4,true,5709 XP 21
54,F,1336,Célibataire,0,false,5465 LY 44
37,M,164,Célibataire,0,false,2184 NN 94
19,M,1126,Célibataire,0,false,6659 EY 41
24,F,874,En Couple,2,false,9557 YP 46
31,M,158,En Couple,1,false,5967 WQ 94
60,M,1250,Célibataire,0,false,4424 GH 35
47,M,584,Célibataire,0,false,5157 OA 39
32,M,848,En Couple,2,true,9521 UF 67
26,M,599,En Couple,0,false,1017 JJ 59
29,F,426,En Couple,0,false,9927 NO 37
19,M,493,En Couple,0,false,4072 UF 55
46,M,581,En Couple,1,false,9260 YE 72
64,F,233,En Couple,2,false,4618 PW 94
38,M,534,En Couple,0,true,5965 NM 97
35,F,245,En Couple,4,false,623 PK 26
39,M,1147,En Couple,0,false,6497 DE 93
24,M,749,En Couple,4,false,1796 JY 80
70,M,567,Célibataire,0,false,1511 KI 59
59,M,737,Célibataire,0,false,3901 UJ 36
32,F,525,En Couple,1,false,5562 GC 82
71,M,437,En Couple,4,false,7050 DD 35
48,M,475,En Couple,0,false,6862 BB 93
36,M,206,En Couple,4,false,3588 UZ 90
43,M,1114,En Couple,3,false,465 CQ 65
37,M,585,Célibataire,0,false,6254 UF 95
56,F,196,En Couple,1,false,9981 ZJ 59
33,M,535,Célibataire,0,false,2438 NW 38
22,M,413,Célibataire,0,false,370 FZ 38
39,F,747,En Couple,2,true,2403 OY 77
61,F,464,Célibataire,0,false,8430 ER 50
77,M,993,Célibataire,0,false,2070 BB 90
54,M,1195,Célibataire,0,false,4326 AA 63
47,M,495,En Couple,1,true,7179 ZO 73
32,F,591,Divorcée,1,false,2252 UN 65
33,F,544,En Couple,-1,false,6871 TG 14
29,M,585,Célibataire,0,false,857 YY 76
76,F,187,En Couple,3,false,9737 TU 13
29,M,409,En Couple,4,false,3921 WY 68
21,M,978,Célibataire,0,false,7130 GW 53
74,M,1140,Célibataire,0,false,132 QW 74
59,F,1310,En Couple,1,false,7327 WJ 77
31,M,743,En Couple,2,false,3608 EF 28
25,F,481,En Couple,4,false,2883 QJ 38
28,F,150,En Couple,4,false,2626 TU 79
43,M,232,En Couple,3,false,8399 KV 72
59,F,184,En Couple,3,true,2988 JA 34
44,M,567,En Couple,2,false,5732 QU 79
27,M,1300,En Couple,3,false,5453 CG 19
51,M,447,En Couple,2,false,1805 XA 24
43,M,1246,En Couple,0,false,8598 OQ 26
30,M,538,En Couple,0,false,1008 JP 16
84,M,553,Célibataire,0,false,3041 AM 65
42,Masculin,483,En Couple,1,false,3483 FN 21
66,F,595,Célibataire,0,false,1698 IQ 66
30,M,590,En Couple,4,false,5976 TR 16
49,F,222,En Couple,3,true,4471 NJ 26
27,M,553,Célibataire,0,false,1051 AH 58
72,M,481,Seule,1,false,9210 HF 24
36,M,407,En Couple,4,true,7072 WE 67
53,M,471,En Couple,2,false,3707 RU 84
27,M,593,Célibataire,0,false,2656 TE 21
80,M,481,Seule,2,false,9928 HG 11
25,M,1051,En Couple,0,true,6522 PT 78
43,M,884,En Couple,3,true,2774 EK 10
52,M,557,En Couple,2,true,6219 DY 85
30,F,469,Célibataire,0,false,8758 SP 89
22,M,541,En Couple,2,false,9641 UA 32
41,M,592,En Couple,3,false,2979 PL 96
58,M,929,En Couple,4,true,913 TM 88
25,F,709,En Couple,3,false,3361 MF 45
41,F,741,Célibataire,0,false,1086 XW 34
44,M,529,En Couple,2,false,1341 CF 82
33,Masculin,534,En Couple,1,false,7747 HT 70
31,M,506,En Couple,4,false,225 TF 37
21,M,180,En Couple,0,false,9789 XL 80
48,F,449,Seule,3,false,4110 QK 56
58,F,599,Célibataire,0,false,355 YP 23
61,M,495,Célibataire,0,false,6513 QY 65
61,F,418,En Couple,1,false,6184 JM 20
37,M,214,Seule,3,false,2352 VG 73
39,Féminin,440,En Couple,4,false,9973 NA 83
63,F,912,En Couple,3,false,2060 EO 78
82,M,555,En Couple,2,false,5041 ZC 31
27,M,889,Célibataire,0,false,3423 CY 71
21,F,166,Seule,2,false,7755 PL 54
67,M,533,En Couple,1,false,365 ET 23
59,M,505,Célibataire,0,false,8539 TI 69
21,F,899,Célibataire,0,false,660 CS 80
64,M,475,En Couple,0,false,4470 HL 98
25,Masculin,873,En Couple,0,false,3165 KS 12
67,M,211,Célibataire,0,false,8345 IJ 64
80,F,156,En Couple,4,false,8586 IL 22
65,M,434,Célibataire,0,false,4571 XJ 15
21,M,497,En Couple,1,true,3720 XC 29
51,M,546,En Couple,1,true,5741 PM 25
24,F,1108,Célibataire,0,false,9788 UL 32
23,M,525,En Couple,0,false,2954 AG 52
38,M,806,Célibataire,0,false,4263 GK 69
27,M,472,Marié(e),3,false,2281 QR 27
69,M,405,En Couple,2,false,4212 XZ 40
31,F,457,En Couple,2,false,5576 ZS 90
65,M,573,Célibataire,0,false,2822 YG 95
30,Masculin,496,Célibataire,0,false,5616 KF 77
42,F,444,Seule,3,false,8061 XB 90
26,M,499,Célibataire,0,false,1733 RB 90
54,F,178,Célibataire,0,false,2095 ZI 23
43,F,421,Célibataire,0,false,7237 AW 65
23,F,468,Célibataire,0,false,8496 EV 27
48,M,454,Célibataire,0,false,8982 EY 74
51,F,833,Seule,2,false,1052 ZP 10
57,M,1097,Célibataire,0,false,2505 FN 35
61,M,227,En Couple,0,true,9386 SF 45
48,M,224,En Couple,2,false,2091 TQ 79
22,F,400,En Couple,1,false,6488 CP 97
44,F,595,Marié(e),0,false,6705 LJ 31
34,M,541,En Couple,4,false,4483 ZA 31
53,F,434,Célibataire,0,false,6249 EA 41
31,M,225,En Couple,2,false,6062 OB 25
49,M,1336,Célibataire,0,false,6845 VX 96
55,M,719,En Couple,0,false,4983 WD 66
35,F,416,En Couple,0,false,320 UU 27
22,F,981,En Couple,2,true,8359 RH 19
28,M,162,Célibataire,0,false,6544 JS 40
65,M,536,Célibataire,0,false,7776 RD 36
27,F,457,En Couple,0,false,8676 RD 35
27,M,401,En Couple,1,false,3215 OE 65
24,M,1158,En Couple,2,false,4350 GX 35
63,M,577,Célibataire,0,false,6121 HO 65
35,F,514,Célibataire,0,false,7336 EN 39
74,M,432,En Couple,2,false,5999 WL 31
18,M,789,En Couple,1,true,7720 WW 18
28,M,1322,En Couple,1,false,6987 JN 85
40,M,565,En Couple,4,false,9213 VP 69
34,M,491,En Couple,3,false,7411 TW 77
28,M,541,Seule,1,false,2033 BZ 90
24,F,158,En Couple,3,false,6035 UQ 32
69,F,505,En Couple,1,false,7126 NW 34
71,F,494,Célibataire,0,false,532 CB 50
27,M,492,Célibataire,0,false,299 WS 26
42,M,556,Célibataire,0,false,8057 ZH 73
64,M,1216,Célibataire,0,false,4695 UH 71
22,M,526,En Couple,2,false,4046 VI 53
72,M,560,En Couple,2,false,5834 JZ 33
46,F,591,Célibataire,0,false,3801 MG 81
24,F,1082,En Couple,2,true,9248 QE 37
53,M,235,Célibataire,0,false,3307 DM 22
55,M,562,En Couple,1,false,9039 VE 87
54,F,193,En Couple,3,false,5774 EO 80
29,M,206,Seule,1,false,8709 PJ 66
79,M,596,En Couple,1,false,8229 GG 17
23, ,923,Célibataire,0,false,2253 OC 32
57,M,194,Célibataire,0,false,3616 DS 66
49,F,1097,En Couple,2,false,3800 RH 84
66,F,572,Célibataire,0,false,4215 TS 29
34,F,1127,En Couple,0,false,9414 QE 98
36,M,408,Célibataire,0,false,5516 ZI 42
64,F,490,Seule,2,false,5836 UT 16
47,M,1113,En Couple,1,true,5020 XY 56
54,M,946,En Couple,4,false,4301 YV 18
29,M, ,Célibataire,0,false,2508 AN 11
24,M,565,En Couple,0,false,3156 IU 43
62,M,217,En Couple,2,false,3837 WG 80
51,M,447,En Couple,3,false,6997 VM 89
46,F,524,En Couple,1,false,3145 NL 85
40,F,424,Célibataire,0,false,5569 JX 50
25,F,562,En Couple,3,false,630 PT 64
19,M,703,Célibataire,0,false,8752 TZ 32
40,F,579,Célibataire,0,false,9808 YC 49
56,M,854,En Couple,0,true,4406 GA 94
72,F,497,Célibataire,0,false,1920 BX 12
18,M,173,En Couple,1,false,8224 BU 12
29,M,178,En Couple,3,false,4169 OG 56
25,M,802,En Couple,1,false,5846 ZL 21
31,F,599,En Couple,2,false,4647 ZS 19
60,M,778,En Couple,2,false,2296 FP 96
38,M,865,Célibataire,0,false,6816 KU 95
28,M,445,Célibataire,0,false,2211 ZZ 98
24,M,513,En Couple,3,false,5092 LA 23
23,F,996,En Couple,4,false,2619 IR 83
31,M,1026,Célibataire,0,false,5647 TB 18
25,M,442,En Couple,2,false,5328 QD 31
64,M,1189,En Couple,1,false,6867 FU 41
33,M,431,Célibataire,0,false,5355 HL 39
18,M,1240,Célibataire,0,false,2816 OQ 75
43,M,921,En Couple,1,false,2239 DH 24
35,M,220,En Couple,4,false,4686 FO 34
32,M,475,En Couple,0,false,5594 MM 20
30,F,434,En Couple,3,true,5487 AH 53
39,M,466,Célibataire,0,false,7987 NF 62
27,M,413,En Couple,0,false,7855 OZ 93
43,F,235,En Couple,0,false,4667 KN 96
23,M,537,Célibataire,0,false,1285 SP 82
73,M,412,Célibataire,0,false,5134 VU 49
81,M,1158,En Couple,0,false,4609 BA 82
36,M,1107,En Couple,2,false,1761 ER 85
46,M,599,En Couple,2,false,3662 MW 57
44,M,911,Célibataire,0,false,6435 QH 59
30,M,976,Célibataire,0,false,2351 XW 23
45,M,491,Célibataire,0,false,8254 QX 37
40,M,1165,En Couple,1,false,3395 SS 66
35,M,215,En Couple,0,false,4724 ZI 70
19,M,1388,En Couple,1,true,4738 IR 94
31,F,1120,Célibataire,0,false,580 SP 31
67,M,584,En Couple,0,false,5279 QF 39
34,M,242,En Couple,4,true,6756 RX 78
44,M,162,Célibataire,0,false,7222 AY 18
20,M,574,Célibataire,0,false,4566 JU 46
69,F,247,En Couple,4,false,637 PA 57
36,M,568,En Couple,3,true,6629 FX 81
51,M,1256,Célibataire,0,false,3540 ZA 69
55,M,1199,Célibataire,0,false,1702 QT 31
34,M,569,En Couple,0,false,2871 YW 38
45,M,469,En Couple,1,true,5594 EH 18
76,F,897,En Couple,4,false,504 EG 54
57,F,1374,En Couple,2,false,1176 XD 42
 ,M,1191,Célibataire,0,false,407 DI 77
56,F,739,En Couple,2,false,6645 MV 16
38,F,-1,En Couple,1,false,5276 GI 45
84,M,403,Seule,3,false,4413 MR 22
58,F,205,Célibataire,0,false,8776 YE 94
18,M,163,Célibataire,0,false,6984 NN 68
18,F,798,En Couple,3,false,3226 EC 36
54,M,419,Célibataire,0,false,1432 UC 68
42,M,470,En Couple,1,false,8822 SC 41
24,M,924,Célibataire,0,false,7767 ID 12
74,M,491,Célibataire,0,false,2781 WV 33
40,F,832,En Couple,3,false,411 II 64
26,F,1078,En Couple,2,false,6617 IA 16
24,M,510,En Couple,0,false,4148 HX 38
27,M,550,En Couple,0,false,2191 QC 76
29,F,502,Célibataire,0,false,5114 LA 62
39,M,1067,En Couple,0,false,13 BH 75
81,M,447,Célibataire,0,false,6865 VK 43
37,M,182,En Couple,3,false,5771 GC 56
82,M,1203,En Couple,2,false,694 XY 72
76,M,579,En Couple,2,true,2988 WT 31
31,M,1202,Célibataire,0,false,1968 DP 14
48,M,420,Seule,2,false,2843 PL 37
37,M,417,Célibataire,0,false,706 MV 39
29,F,426,Célibataire,0,false,3728 NN 29
68,F,482,En Couple,2,false,9173 LW 20
47,M,1046,En Couple,2,false,3786 KD 59
20,M,161,Célibataire,0,false,6720 QM 16
79,M,546,En Couple,0,false,949 GS 28
83,M,500,En Couple,1,true,3490 TR 97
38,M,424,Célibataire,0,false,6867 MM 98
81,F,237,En Couple,2,false,6259 MB 89
29,M,560,Célibataire,0,false,228 DF 17
67,F,590,En Couple,4,false,5144 BA 22
84,F,535,En Couple,3,false,3712 RF 47
52,F,983,En Couple,2,true,7438 RM 74
22,M,467,En Couple,4,true,7256 WW 10
59,M,532,En Couple,4,false,3452 RS 16
43,M,868,Célibataire,0,false,6090 NA 61
23,Femme,556,Seule,3,false,5395 RG 24
43,M,222,En Couple,2,false,1724 WV 42
49,F,446,En Couple,2,false,527 BS 37
40,F,407,En Couple, ,true,1118 SY 53
28, ,1184,En Couple,4,false,6948 EN 27
33,M,1288,En Couple,0,false,2458 CW 38
35,M,517,Célibataire,0,false,7731 RW 94
30,F,216,En Couple,4,false,1125 JE 94
43,M,597,Célibataire,0,false,260 LI 88
45,F,160,En Couple,0,false,9229 US 14
76,M,518,En Couple,1,true,7980 NZ 48
57,M,213,Célibataire,0,false,2538 UX 94
33,M,593,En Couple,0,false,854 FF 48
76,M,581,Célibataire,0,false,5551 EL 29
19,M,853,En Couple,0,false,635 TQ 23
50,M,202,En Couple,4,false,9143 RE 84
59,M,885,En Couple,3,false,1260 GE 23
25,M,595,En Couple,0,false,6890 FI 90
67,F,1280,En Couple,0,false,3684 OV 59
69,M,703,En Couple,3,false,1431 BW 13
49,F,1110,Célibataire,0,false,7720 SU 80
22,M,-1,En Couple,2,false,5145 YI 54
39,M,539,En Couple,2,true,4584 GL 15
28,M,234,En Couple,1,true,9909 WE 73
29,M,1199,Célibataire,0,false,2925 MM 91
47,M,449,Célibataire,0,false,6327 KX 87
18,M,504,En Couple,2,true,891 KL 72
20,M,712,En Couple,1,false,5210 CD 76
29,M,772,Célibataire,0,false,5566 WW 82
40,M,405,Célibataire,0,false,2495 HB 63
40,M,429,Célibataire,0,false,6574 OJ 25
19,M,462,En Couple,2,true,5538 QP 79
37,F,1309,En Couple,3,true,6556 AZ 11
64,F,844,Célibataire,0,false,9273 BE 39
37,M,891,Marié(e),2,false,4949 RD 95
32,M,1242,Célibataire,0,false,9606 KT 49
55,Homme,169,Célibataire,0,false,4412 JB 23
26,M,406,En Couple,3,true,6434 QG 77
27,F,817,Célibataire,0,false,801 IL 39
70,M,1272,En Couple,0,false,3106 IS 71
55,M,589,En Couple,3,false,8062 RW 19
