"AGE","SEXE","TAUX","SITUATIONFAMILIALE","NBENFANTSACHARGE","DEUXIEMEVOITURE","IMMATRICULATION"
78,"M",972,"En Couple",2,"0","6850 AX 43"
59,"F",1047,"Celibataire",0,"0","9428 LV 26"
83,"M",1371,"En Couple",1,"0","8164 OK 31"
53,"M",594,"En Couple",2,"0","113 LY 42"
20,"F",949,"En Couple",1,"0","925 WK 87"
29,"M",571,"En Couple",2,"0","3279 RV 81"
54,"M",562,"En Couple",4,"1","467 TY 24"
41,"M",555,"En Couple",1,"0","909 CW 94"
29,"F",967,"En Couple",2,"1","9037 LB 45"
43,"F",1034,"En Couple",4,"0","2002 FT 62"
29,"M",1119,"En Couple",2,"0","5446 MQ 82"
23,"M",587,"En Couple",4,"0","6320 NI 59"
24,"M",571,"En Couple",4,"1","3438 SE 64"
47,"M",1389,"En Couple",1,"0","5250 GM 79"
23,"M",924,"En Couple",1,"0","1934 DR 57"
42,"M",1336,"En Couple",2,"0","5341 JO 39"
65,"M",1391,"Celibataire",0,"0","528 NN 51"
45,"F",721,"En Couple",4,"0","3511 LP 33"
18,"M",864,"Celibataire",0,"0","7710 MK 34"
32,"M",1147,"En Couple",0,"0","1243 JH 50"
34,"F",564,"En Couple",1,"0","8814 QC 85"
49,"M",1187,"En Couple",0,"0","2865 TP 74"
55,"M",595,"Celibataire",3,"0","6991 CV 47"
79,"M",582,"Celibataire",0,"0","5867 PF 38"
47,"M",1322,"Celibataire",0,"0","1100 FU 87"
33,"F",753,"Celibataire",0,"0","6150 AC 44"
43,"F",1317,"En Couple",1,"0","6725 AG 10"
18,"M",1348,"En Couple",4,"0","9459 UO 80"
79,"F",1072,"En Couple",2,"1","1625 ZR 80"
24,"F",545,"En Couple",0,"0","5380 ZO 32"
71,"F",1153,"Celibataire",0,"0","3512 EK 20"
47,"M",738,"En Couple",0,"0","3284 BF 23"
34,"M",571,"En Couple",0,"0","247 SG 77"
18,"M",566,"En Couple",2,"0","3890 OJ 22"
45,"M",554,"En Couple",4,"0","2474 GP 39"
46,"F",726,"En Couple",1,"0","5351 BI 32"
21,"M",1324,"Celibataire",0,"0","6335 GQ 10"
75,"M",1007,"En Couple",2,"0","5830 EH 70"
52,"F",867,"En Couple",4,"0","472 KC 91"
41,"M",557,"En Couple",2,"0","4512 KC 85"
53,"M",591,"Celibataire",0,"0","4337 EL 56"
57,"M",1252,"En Couple",0,"1","4738 JT 56"
37,"F",546,"En Couple",1,"0","9871 RN 97"
30,"M",1144,"Celibataire",0,"0","2512 TD 86"
67,"M",811,"Celibataire",1,"0","3671 SA 72"
26,"M",598,"En Couple",1,"0","3697 VW 80"
18,"M",585,"En Couple",2,"0","9611 IL 78"
80,"M",739,"En Couple",3,"0","1610 WA 51"
83,"F",772,"En Couple",0,"0","2350 JD 35"
47,"M",549,"En Couple",2,"0","7812 MP 13"
82,"F",599,"En Couple",3,"1","7744 HE 84"
39,"F",998,"Celibataire",0,"0","9010 PG 45"
63,"M",553,"En Couple",2,"0","4983 RH 81"
67,"M",596,"Celibataire",0,"0","8651 JJ 24"
20,"M",597,"En Couple",2,"0","7752 QC 65"
22,"M",879,"En Couple",2,"0","4384 FQ 24"
18,"F",1345,"En Couple",0,"0","4318 VS 25"
36,"F",713,"En Couple",0,"0","5704 OR 66"
28,"M",812,"En Couple",3,"0","3286 IU 22"
54,"M",719,"En Couple",3,"0","8133 EO 86"
54,"F",571,"En Couple",4,"0","8601 IV 20"
40,"M",1096,"En Couple",0,"0","2008 IZ 67"
49,"M",592,"En Couple",2,"0","1237 II 55"
28,"M",1074,"En Couple",1,"0","2887 YP 20"
35,"M",1062,"Celibataire",0,"0","6765 ML 78"
21,"M",747,"En Couple",2,"0","8414 VO 90"
60,"M",803,"Celibataire",0,"0","2174 VB 40"
72,"F",592,"Celibataire",0,"0","5096 TO 53"
39,"M",552,"Celibataire",1,"0","2790 ZA 47"
22,"M",1117,"En Couple",1,"0","6284 VE 23"
19,"F",817,"Celibataire",0,"0","6158 GH 31"
57,"M",823,"En Couple",2,"0","945 RX 85"
21,"M",1201,"Celibataire",0,"0","2693 VV 22"
52,"F",1004,"En Couple",0,"0","8620 GQ 90"
25,"F",801,"Celibataire",0,"0","9523 BO 29"
51,"F",869,"Celibataire",0,"0","9784 US 33"
80,"F",568,"En Couple",1,"0","7566 VV 74"
27,"M",990,"En Couple",3,"0","1435 TU 40"
21,"M",1043,"En Couple",4,"0","2434 SG 76"
36,"M",959,"En Couple",1,"0","4521 RF 12"
73,"M",1102,"Celibataire",0,"0","9968 OF 84"
60,"M",1121,"Celibataire",1,"0","9159 BJ 90"
61,"M",749,"Celibataire",0,"0","7495 BK 40"
29,"M",970,"En Couple",4,"0","6242 NC 98"
38,"F",547,"Celibataire",0,"0","8855 GL 73"
40,"M",996,"En Couple",1,"1","9191 YR 57"
53,"F",588,"Celibataire",2,"0","5319 MY 15"
46,"M",1161,"En Couple",2,"0","3472 DG 64"
68,"F",1148,"En Couple",2,"0","1431 DP 25"
21,"M",961,"En Couple",4,"0","7615 FD 68"
29,"F",743,"En Couple",1,"1","7642 RX 34"
67,"M",1193,"Celibataire",0,"0","6304 RZ 62"
31,"F",580,"En Couple",1,"0","5760 GR 56"
66,"M",567,"En Couple",0,"0","7717 CY 69"
22,"M",1266,"En Couple",3,"1","4797 HX 64"
61,"M",1396,"Celibataire",0,"0","8384 MJ 54"
58,"M",1193,"Celibataire",0,"0","5817 DR 81"
58,"F",1086,"En Couple",0,"1","9288 WU 64"
22,"M",819,"En Couple",1,"1","5564 QX 23"
51,"M",1105,"Celibataire",0,"0","8571 YM 11"
52,"M",1350,"En Couple",3,"0","3774 RN 16"
18,"M",1184,"En Couple",2,"0","1753 WK 41"
39,"M",1330,"En Couple",1,"0","5320 QT 91"
51,"M",982,"En Couple",1,"1","4478 AH 20"
23,"F",786,"En Couple",0,"0","6049 GB 66"
53,"F",925,"Celibataire",0,"0","3176 UL 65"
22,"M",727,"En Couple",2,"1","5642 SZ 13"
83,"M",915,"En Couple",2,"1","1353 KG 40"
43,"M",1099,"En Couple",3,"0","8855 FU 54"
29,"M",560,"Celibataire",1,"0","7636 PS 50"
36,"M",1391,"En Couple",0,"0","8196 EW 20"
34,"M",552,"En Couple",1,"1","7105 ZH 46"
36,"M",1332,"Celibataire",0,"0","2269 WC 18"
44,"M",1002,"Celibataire",0,"0","5987 UM 67"
61,"M",548,"Celibataire",0,"0","2927 OD 25"
21,"M",585,"Celibataire",0,"0","1174 ZA 56"
26,"M",762,"En Couple",2,"0","6185 JL 64"
18,"F",1131,"En Couple",1,"0","1942 WJ 72"
33,"M",830,"Celibataire",0,"0","789 JM 61"
39,"F",1099,"En Couple",3,"0","4263 OZ 72"
28,"M",820,"Celibataire",1,"0","436 EF 78"
72,"M",562,"Celibataire",0,"0","4094 LG 50"
42,"M",813,"Celibataire",0,"0","3813 NK 79"
39,"M",949,"Celibataire",0,"0","9714 TO 25"
36,"M",577,"En Couple",0,"0","6444 UP 75"
53,"M",1082,"Celibataire",0,"0","1301 JK 23"
29,"M",596,"En Couple",2,"0","3211 GR 22"
77,"F",1393,"En Couple",2,"1","9785 FN 45"
62,"M",580,"Celibataire",0,"0","9662 HH 94"
62,"M",1078,"Celibataire",0,"0","3369 TV 22"
31,"M",727,"En Couple",3,"0","6398 TJ 36"
73,"M",850,"En Couple",0,"0","7354 CC 54"
76,"M",1295,"En Couple",2,"1","6587 VR 88"
36,"M",1136,"En Couple",4,"1","5709 XP 21"
54,"F",1336,"Celibataire",0,"0","5465 LY 44"
19,"M",1126,"Celibataire",0,"0","6659 EY 41"
24,"F",874,"En Couple",2,"0","9557 YP 46"
60,"M",1250,"Celibataire",0,"0","4424 GH 35"
47,"M",584,"Celibataire",0,"0","5157 OA 39"
32,"M",848,"En Couple",2,"1","9521 UF 67"
26,"M",599,"En Couple",0,"0","1017 JJ 59"
46,"M",581,"En Couple",1,"0","9260 YE 72"
39,"M",1147,"En Couple",0,"0","6497 DE 93"
24,"M",749,"En Couple",4,"0","1796 JY 80"
70,"M",567,"Celibataire",0,"0","1511 KI 59"
59,"M",737,"Celibataire",0,"0","3901 UJ 36"
43,"M",1114,"En Couple",3,"0","465 CQ 65"
37,"M",585,"Celibataire",0,"0","6254 UF 95"
39,"F",747,"En Couple",2,"1","2403 OY 77"
77,"M",993,"Celibataire",0,"0","2070 BB 90"
54,"M",1195,"Celibataire",0,"0","4326 AA 63"
32,"F",591,"Celibataire",1,"0","2252 UN 65"
29,"M",585,"Celibataire",0,"0","857 YY 76"
21,"M",978,"Celibataire",0,"0","7130 GW 53"
74,"M",1140,"Celibataire",0,"0","132 QW 74"
59,"F",1310,"En Couple",1,"0","7327 WJ 77"
31,"M",743,"En Couple",2,"0","3608 EF 28"
44,"M",567,"En Couple",2,"0","5732 QU 79"
27,"M",1300,"En Couple",3,"0","5453 CG 19"
43,"M",1246,"En Couple",0,"0","8598 OQ 26"
84,"M",553,"Celibataire",0,"0","3041 AM 65"
66,"F",595,"Celibataire",0,"0","1698 IQ 66"
30,"M",590,"En Couple",4,"0","5976 TR 16"
27,"M",553,"Celibataire",0,"0","1051 AH 58"
27,"M",593,"Celibataire",0,"0","2656 TE 21"
25,"M",1051,"En Couple",0,"1","6522 PT 78"
43,"M",884,"En Couple",3,"1","2774 EK 10"
52,"M",557,"En Couple",2,"1","6219 DY 85"
41,"M",592,"En Couple",3,"0","2979 PL 96"
58,"M",929,"En Couple",4,"1","913 TM 88"
25,"F",709,"En Couple",3,"0","3361 MF 45"
41,"F",741,"Celibataire",0,"0","1086 XW 34"
58,"F",599,"Celibataire",0,"0","355 YP 23"
63,"F",912,"En Couple",3,"0","2060 EO 78"
82,"M",555,"En Couple",2,"0","5041 ZC 31"
27,"M",889,"Celibataire",0,"0","3423 CY 71"
21,"F",899,"Celibataire",0,"0","660 CS 80"
25,"M",873,"En Couple",0,"0","3165 KS 12"
51,"M",546,"En Couple",1,"1","5741 PM 25"
24,"F",1108,"Celibataire",0,"0","9788 UL 32"
38,"M",806,"Celibataire",0,"0","4263 GK 69"
65,"M",573,"Celibataire",0,"0","2822 YG 95"
51,"F",833,"Celibataire",2,"0","1052 ZP 10"
57,"M",1097,"Celibataire",0,"0","2505 FN 35"
44,"F",595,"En Couple",0,"0","6705 LJ 31"
49,"M",1336,"Celibataire",0,"0","6845 VX 96"
55,"M",719,"En Couple",0,"0","4983 WD 66"
22,"F",981,"En Couple",2,"1","8359 RH 19"
24,"M",1158,"En Couple",2,"0","4350 GX 35"
63,"M",577,"Celibataire",0,"0","6121 HO 65"
18,"M",789,"En Couple",1,"1","7720 WW 18"
28,"M",1322,"En Couple",1,"0","6987 JN 85"
40,"M",565,"En Couple",4,"0","9213 VP 69"
42,"M",556,"Celibataire",0,"0","8057 ZH 73"
64,"M",1216,"Celibataire",0,"0","4695 UH 71"
72,"M",560,"En Couple",2,"0","5834 JZ 33"
46,"F",591,"Celibataire",0,"0","3801 MG 81"
24,"F",1082,"En Couple",2,"1","9248 QE 37"
55,"M",562,"En Couple",1,"0","9039 VE 87"
79,"M",596,"En Couple",1,"0","8229 GG 17"
49,"F",1097,"En Couple",2,"0","3800 RH 84"
66,"F",572,"Celibataire",0,"0","4215 TS 29"
34,"F",1127,"En Couple",0,"0","9414 QE 98"
47,"M",1113,"En Couple",1,"1","5020 XY 56"
54,"M",946,"En Couple",4,"0","4301 YV 18"
24,"M",565,"En Couple",0,"0","3156 IU 43"
25,"F",562,"En Couple",3,"0","630 PT 64"
19,"M",703,"Celibataire",0,"0","8752 TZ 32"
40,"F",579,"Celibataire",0,"0","9808 YC 49"
56,"M",854,"En Couple",0,"1","4406 GA 94"
25,"M",802,"En Couple",1,"0","5846 ZL 21"
31,"F",599,"En Couple",2,"0","4647 ZS 19"
60,"M",778,"En Couple",2,"0","2296 FP 96"
38,"M",865,"Celibataire",0,"0","6816 KU 95"
23,"F",996,"En Couple",4,"0","2619 IR 83"
31,"M",1026,"Celibataire",0,"0","5647 TB 18"
64,"M",1189,"En Couple",1,"0","6867 FU 41"
18,"M",1240,"Celibataire",0,"0","2816 OQ 75"
43,"M",921,"En Couple",1,"0","2239 DH 24"
81,"M",1158,"En Couple",0,"0","4609 BA 82"
36,"M",1107,"En Couple",2,"0","1761 ER 85"
46,"M",599,"En Couple",2,"0","3662 MW 57"
44,"M",911,"Celibataire",0,"0","6435 QH 59"
30,"M",976,"Celibataire",0,"0","2351 XW 23"
40,"M",1165,"En Couple",1,"0","3395 SS 66"
19,"M",1388,"En Couple",1,"1","4738 IR 94"
31,"F",1120,"Celibataire",0,"0","580 SP 31"
67,"M",584,"En Couple",0,"0","5279 QF 39"
20,"M",574,"Celibataire",0,"0","4566 JU 46"
36,"M",568,"En Couple",3,"1","6629 FX 81"
51,"M",1256,"Celibataire",0,"0","3540 ZA 69"
55,"M",1199,"Celibataire",0,"0","1702 QT 31"
34,"M",569,"En Couple",0,"0","2871 YW 38"
76,"F",897,"En Couple",4,"0","504 EG 54"
57,"F",1374,"En Couple",2,"0","1176 XD 42"
56,"F",739,"En Couple",2,"0","6645 MV 16"
18,"F",798,"En Couple",3,"0","3226 EC 36"
24,"M",924,"Celibataire",0,"0","7767 ID 12"
40,"F",832,"En Couple",3,"0","411 II 64"
26,"F",1078,"En Couple",2,"0","6617 IA 16"
27,"M",550,"En Couple",0,"0","2191 QC 76"
39,"M",1067,"En Couple",0,"0","13 BH 75"
82,"M",1203,"En Couple",2,"0","694 XY 72"
76,"M",579,"En Couple",2,"1","2988 WT 31"
31,"M",1202,"Celibataire",0,"0","1968 DP 14"
47,"M",1046,"En Couple",2,"0","3786 KD 59"
79,"M",546,"En Couple",0,"0","949 GS 28"
29,"M",560,"Celibataire",0,"0","228 DF 17"
67,"F",590,"En Couple",4,"0","5144 BA 22"
52,"F",983,"En Couple",2,"1","7438 RM 74"
43,"M",868,"Celibataire",0,"0","6090 NA 61"
23,"F",556,"Celibataire",3,"0","5395 RG 24"
33,"M",1288,"En Couple",0,"0","2458 CW 38"
43,"M",597,"Celibataire",0,"0","260 LI 88"
33,"M",593,"En Couple",0,"0","854 FF 48"
76,"M",581,"Celibataire",0,"0","5551 EL 29"
19,"M",853,"En Couple",0,"0","635 TQ 23"
59,"M",885,"En Couple",3,"0","1260 GE 23"
25,"M",595,"En Couple",0,"0","6890 FI 90"
67,"F",1280,"En Couple",0,"0","3684 OV 59"
69,"M",703,"En Couple",3,"0","1431 BW 13"
49,"F",1110,"Celibataire",0,"0","7720 SU 80"
29,"M",1199,"Celibataire",0,"0","2925 MM 91"
20,"M",712,"En Couple",1,"0","5210 CD 76"
29,"M",772,"Celibataire",0,"0","5566 WW 82"
37,"F",1309,"En Couple",3,"1","6556 AZ 11"
64,"F",844,"Celibataire",0,"0","9273 BE 39"
37,"M",891,"En Couple",2,"0","4949 RD 95"
32,"M",1242,"Celibataire",0,"0","9606 KT 49"
27,"F",817,"Celibataire",0,"0","801 IL 39"
70,"M",1272,"En Couple",0,"0","3106 IS 71"
55,"M",589,"En Couple",3,"0","8062 RW 19"
54,"M",1367,"En Couple",2,"1","4804 YM 54"
41,"F",1164,"Celibataire",0,"0","4912 RR 95"
22,"M",1179,"En Couple",1,"1","8069 GM 83"
82,"M",997,"Celibataire",0,"0","3690 DS 80"
41,"M",747,"Celibataire",0,"0","5818 RQ 67"
36,"M",1329,"En Couple",2,"0","17 FP 58"
50,"M",1056,"En Couple",4,"1","3654 MF 28"
79,"M",560,"En Couple",1,"0","5851 ZH 62"
33,"M",1180,"En Couple",4,"0","6924 ZC 47"
18,"F",1080,"En Couple",2,"0","6399 JM 83"
55,"M",1304,"Celibataire",0,"0","9597 DJ 84"
45,"M",1287,"En Couple",1,"0","1525 LK 82"
19,"M",989,"En Couple",4,"0","9436 PX 39"
43,"M",588,"Celibataire",0,"0","2947 SM 88"
69,"M",555,"Celibataire",0,"0","600 PV 77"
68,"F",1383,"En Couple",0,"1","7185 KY 81"
22,"F",890,"En Couple",2,"0","3837 VZ 36"
75,"M",562,"Celibataire",0,"0","7012 JV 36"
28,"M",579,"En Couple",2,"0","7761 UN 12"
20,"M",769,"En Couple",2,"1","8989 VF 62"
27,"M",551,"En Couple",1,"0","898 SF 16"
31,"M",879,"Celibataire",0,"0","6898 NV 19"
49,"F",974,"Celibataire",0,"0","3663 TJ 95"
32,"M",552,"Celibataire",0,"0","4967 ZD 37"
68,"M",1252,"Celibataire",0,"0","9276 JT 40"
36,"M",1390,"Celibataire",0,"0","474 QC 42"
58,"F",1395,"En Couple",1,"0","1622 GC 63"
51,"M",560,"En Couple",2,"0","5977 KV 75"
49,"F",738,"En Couple",4,"0","6917 NX 49"
51,"F",1228,"Celibataire",0,"0","9928 OH 61"
19,"M",546,"Celibataire",0,"0","456 QM 30"
18,"M",568,"En Couple",4,"0","5857 DV 73"
18,"M",1017,"Celibataire",0,"0","2970 BV 87"
39,"F",560,"Celibataire",3,"0","8246 OO 55"
56,"M",544,"Celibataire",0,"0","8740 IB 16"
41,"F",1262,"En Couple",4,"1","6546 NX 54"
27,"M",1240,"En Couple",1,"0","1690 HX 72"
41,"F",590,"En Couple",0,"0","1159 RO 27"
35,"M",578,"En Couple",4,"0","8905 NV 93"
21,"M",1344,"En Couple",0,"0","6803 OX 82"
21,"M",559,"Celibataire",2,"0","7923 AL 92"
66,"M",569,"Celibataire",0,"0","8777 OR 64"
34,"M",550,"Celibataire",0,"0","5493 DT 94"
83,"M",547,"En Couple",0,"0","6463 OS 21"
55,"F",826,"Celibataire",0,"0","5267 KC 39"
44,"F",1311,"En Couple",2,"0","5939 MM 17"
55,"F",586,"En Couple",2,"0","1219 RI 79"
52,"M",593,"Celibataire",0,"0","1725 PO 57"
62,"F",1157,"En Couple",1,"0","5468 EL 38"
52,"M",552,"En Couple",4,"1","9291 FX 57"
24,"F",1106,"Celibataire",0,"0","117 EX 18"
44,"M",1133,"Celibataire",0,"0","2052 OK 12"
23,"M",1005,"En Couple",1,"1","9764 KX 67"
25,"F",1111,"Celibataire",1,"0","9180 HA 21"
32,"F",929,"En Couple",1,"0","5827 AY 35"
39,"M",562,"En Couple",0,"0","8031 RI 88"
59,"M",759,"En Couple",2,"0","7860 QT 48"
82,"M",585,"En Couple",1,"0","6853 UW 65"
22,"F",1072,"Celibataire",0,"0","3014 KJ 62"
54,"F",982,"En Couple",4,"0","1175 SB 65"
54,"M",826,"En Couple",0,"0","2365 FG 20"
26,"M",1088,"En Couple",0,"0","7179 GD 32"
31,"M",598,"En Couple",0,"0","6863 XF 84"
48,"M",556,"En Couple",1,"0","8493 BC 11"
41,"M",567,"En Couple",0,"0","9300 RM 45"
29,"F",1007,"En Couple",1,"0","2795 FM 95"
29,"M",586,"Celibataire",0,"0","4356 EC 22"
34,"M",837,"En Couple",4,"1","7457 KS 62"
56,"M",931,"Celibataire",0,"0","3968 KV 97"
42,"F",1329,"Celibataire",0,"0","228 LP 50"
24,"F",1069,"En Couple",1,"0","8954 PE 78"
53,"M",1035,"En Couple",1,"0","8508 AA 37"
52,"F",946,"En Couple",2,"0","4779 HW 30"
29,"M",1231,"En Couple",1,"0","8609 WB 86"
53,"M",1181,"En Couple",0,"0","6570 NO 74"
48,"M",819,"En Couple",1,"0","326 IU 38"
70,"M",568,"Celibataire",0,"0","7211 IX 67"
38,"M",1247,"Celibataire",0,"0","5113 FV 44"
41,"M",585,"En Couple",2,"1","5187 QF 70"
32,"M",1024,"En Couple",0,"0","8291 QA 22"
48,"F",721,"Celibataire",0,"0","1814 FO 17"
31,"M",556,"Celibataire",2,"0","639 YS 55"
26,"M",1364,"En Couple",3,"0","6278 PQ 81"
26,"F",1179,"En Couple",2,"0","4889 NQ 78"
62,"F",1188,"En Couple",1,"0","7218 AV 49"
73,"M",704,"Celibataire",0,"0","2531 UX 44"
21,"M",551,"Celibataire",0,"0","3915 XK 72"
30,"M",1331,"Celibataire",0,"0","5313 YP 16"
19,"M",588,"En Couple",0,"1","5044 PJ 43"
22,"M",916,"Celibataire",0,"0","8690 CE 41"
22,"M",589,"En Couple",2,"0","5068 IQ 72"
36,"M",1129,"En Couple",2,"0","3221 GG 46"
55,"M",1280,"Celibataire",0,"0","9788 QP 71"
29,"M",1160,"En Couple",0,"1","5058 UU 60"
23,"F",599,"Celibataire",0,"0","9692 WY 62"
76,"M",768,"Celibataire",0,"0","8758 EZ 31"
55,"F",582,"En Couple",1,"0","7519 TC 50"
53,"M",567,"En Couple",1,"1","1461 BC 72"
20,"M",904,"Celibataire",2,"0","2512 TH 12"
21,"M",737,"En Couple",2,"1","189 LS 43"
49,"M",1110,"Celibataire",0,"0","7707 GK 31"
27,"M",989,"Celibataire",0,"0","9045 JW 17"
22,"M",1110,"En Couple",0,"0","7048 OU 67"
23,"F",564,"Celibataire",0,"0","3817 IM 79"
48,"M",1376,"En Couple",0,"0","5720 NT 75"
18,"F",1046,"En Couple",4,"0","2606 EL 25"
34,"M",550,"Celibataire",0,"0","5630 CS 11"
81,"F",1039,"Celibataire",0,"0","2494 KT 89"
48,"M",1361,"Celibataire",0,"0","2084 DH 73"
59,"F",1046,"Celibataire",0,"0","4574 MO 10"
50,"M",1092,"En Couple",2,"0","5682 LH 50"
62,"F",907,"En Couple",2,"0","633 EK 27"
28,"M",551,"Celibataire",0,"0","3502 IP 28"
27,"F",1270,"En Couple",3,"0","4873 PM 84"
24,"F",554,"En Couple",1,"0","1142 MV 49"
50,"M",1195,"En Couple",3,"0","2341 PG 22"
67,"F",591,"En Couple",4,"0","8018 TJ 96"
46,"M",580,"Celibataire",0,"0","4825 BB 23"
42,"F",1181,"En Couple",3,"1","2025 WQ 87"
34,"M",1293,"Celibataire",0,"0","906 XL 84"
36,"F",780,"En Couple",1,"0","7516 SF 92"
19,"F",1313,"En Couple",4,"0","3931 XX 33"
38,"F",1309,"En Couple",0,"0","9457 GW 26"
81,"F",1395,"Celibataire",0,"0","4092 HI 73"
24,"M",779,"En Couple",3,"0","2794 LW 75"
57,"M",744,"En Couple",2,"0","5484 FL 48"
75,"M",730,"Celibataire",0,"0","8285 JY 79"
39,"M",902,"En Couple",3,"0","5861 JY 93"
59,"F",571,"En Couple",0,"0","9049 ZT 26"
35,"M",1076,"En Couple",1,"0","8693 PL 27"
34,"M",840,"En Couple",0,"0","6730 QX 78"
61,"M",1236,"En Couple",0,"0","2788 TI 76"
20,"F",1196,"En Couple",1,"1","6338 SD 28"
44,"F",731,"En Couple",2,"0","346 AE 64"
30,"M",1128,"Celibataire",2,"0","5887 NJ 62"
26,"M",1001,"En Couple",2,"0","7060 CZ 92"
50,"F",839,"Celibataire",1,"0","3710 BH 81"
68,"M",571,"En Couple",3,"0","9207 YL 49"
49,"F",1167,"Celibataire",0,"0","9843 XJ 62"
55,"F",964,"Celibataire",0,"0","5177 VA 95"
28,"M",894,"En Couple",0,"0","9433 SC 71"
21,"M",1043,"Celibataire",0,"0","2561 NR 89"
74,"M",811,"Celibataire",3,"0","1786 MK 79"
48,"M",1036,"En Couple",1,"0","8189 OT 43"
63,"M",1018,"En Couple",3,"0","1150 LP 33"
46,"F",1239,"En Couple",3,"0","541 TG 41"
58,"M",560,"Celibataire",3,"0","1850 SQ 42"
19,"M",803,"En Couple",4,"0","564 ZZ 48"
24,"F",1037,"Celibataire",0,"0","6634 DF 12"
31,"F",1390,"En Couple",2,"0","5382 XB 93"
46,"M",995,"Celibataire",0,"0","2930 NG 93"
56,"M",547,"En Couple",3,"0","7551 OR 73"
48,"M",1226,"En Couple",4,"0","4600 VK 89"
